,pNPP (mM),slopes,Initial Velocities
0,20.0,0.2892506385894737,19.283375905964913
1,10.0,0.27880733943157904,18.58715596210527
2,7.0,0.26825116593082704,17.883411062055135
3,4.0,0.24139941690526318,16.09329446035088
4,2.0,0.20673321230977446,13.782214153984965
5,1.0,0.1595900277142857,10.639335180952381
6,0.7,0.12890131578947372,8.593421052631582
7,0.4,0.09117987271278195,6.0786581808521305
8,0.2,0.05658209154887218,3.7721394365914787
9,0.1,0.02960706766917293,1.9738045112781955
10,0.05,0.015764305515789476,1.0509537010526318
